soru,dogruCevap,aciklama,secenekA,secenekB,secenekC,secenekD,secenekE,soruSirasi,source,konuGrubu
Crohn hastalığı gastrointestinal sistemde aşağıdakilerin hangisinde daha fazla görülür?,D,,Rektum,Anal kanal,Duodenum,Terminal ileum,İnen kolon,87.0,tusdonem_2_KTBT.json,
Orta rektal arter aşağıdakilerden hangisinin dalıdır?,B,,Eksternal iliak arter,İnternal iliak arter,İnternal pudendal arter,İnferior mezenterik arter,Orta kolik arter,88.0,tusdonem_2_KTBT.json,
Akut anal fissür tedavisinde aşağıdakilerden hangisi ilk aşamada tercih edilmez?,C,,Sıcak oturma banyosu,Topikal kalsiyum kanal blokörü,Lateral internal sfinkterotomi,Gaita yumuşatıcıları,Topikal nitrogliserin,89.0,tusdonem_2_KTBT.json,
Ayakta direkt karın grafisinde “kahve çekirdeği” görüntüsünün aşağıdaki durumların hangisinde görülmesi en olasıdır?,B,,Çekal volvulus,Sigmoid volvulus,Gastrik volvulus,Ogilvie sendromu,Safra taşı ileusu,90.0,tusdonem_2_KTBT.json,
Akut apandisit tanısında kullanılan “öksürmekle sağ alt kadranda ağrı oluşması” bulgusuna ne ad verilir?,B,,Obturator,Dunphy,Psoas,Cullen,Rovsing,91.0,tusdonem_2_KTBT.json,
"Laparoskopik apendektomi sonrası karın ağrısı, bulantı ve kusma şikâyetleriyle başvuran bir hastanın ultrasonografisinde ince bağırsağın antimezenterik duvarının bir bölümünün laparoskopik port yerinden cilt altına uzandığı ve strangüle olduğu tespit ediliyor.

Bu hastada tarif edilen en olası fıtık aşağıdakilerden hangisidir?",B,,Littre,Richter,Obturator,Spigelian,Amyand,92.0,tusdonem_2_KTBT.json,
Karaciğer apseleriyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,C,,"Amebik apseler, piyojenik apselere göre daha ileri yaşlarda görülür.","Amebik apselerde diyabet öyküsü, piyojenik apselere göre daha sık bulunur.","Piyojenik apselerde sarılık, amebik apselere göre tabloya daha sık eşlik eder.",Amebik apselerde tedavide ilk seçenek perkütan drenajdır.,Piyojenik apseler karaciğerin sol lobuna yerleşme eğilimindedir.,93.0,tusdonem_2_KTBT.json,
"Biliyer semptomları olmayan 45 yaşındaki kadın hastanın jinekolojik kontrolleri için yaptırdığı abdominal ultrasonografisinde safra kesesi fundusunda sesil ve içinde mikrokistlerin olduğu 7 mm’lik adenomiyomatozis görüntüsü tespit ediliyor.

Bu  hasta için en uygun yaklaşım aşağıdakilerden hangisidir?",D,,Laparoskopik kolesistektomi yapılması,Açık kolesistektomi yapılması,Açık kolesistektomi ve karaciğer yatağı rezeksiyonu yapılması,Semptomlarının ve ultrasonografik olarak lezyon boyutunun takibi,Lezyondan ince iğne aspirasyon biyopsisi alınması,94.0,tusdonem_2_KTBT.json,
Etiyolojilerine göre aşağıdaki akut pankreatitlerden hangisi diğerlerine göre daha sık görülür?,E,,İdiyopatik akut pankreatit,Hiperlipidemik akut pankreatit,İlaçlara bağlı akut pankreatit,Otoimmün akut pankreatit,Safra taşına bağlı akut pankreatit,95.0,tusdonem_2_KTBT.json,
Splenik kistlerin en sık nedeni aşağıdakilerden hangisidir?,D,,Paraziter kistler,Basit kistler,Hemorajik kistler,Psödokistler,Kistadenomlar,96.0,tusdonem_2_KTBT.json,
"Modifiye Duke Kriterleri’ne göre, aşağıdakilerden hangisi enfektif endokardit tanısında kullanılan majör klinik kriterlerden biri değildir?",D,,Majör arteriyel emboli,Ekokardiyografide kapakta apse saptanması,On iki saatten daha uzun arayla alınan iki farklı kan kültüründe Staphylococcus aureus üremesi,Tek bir kan kültüründe Coxiella burnetii üremesi,Ekokardiyografide prostetik kapakta yeni parsiyel dehissens saptanması,97.0,tusdonem_2_KTBT.json,
"Altmış yaşındaki erkek hasta; yaklaşık üç aydır 100 metre yürümekle baldırında ağrı olduğunu, dinlenmekle geçtiğini ve tekrar aynı mesafeyi yürüyebildiğini, ağrının pozisyonla bir ilgisi olmadığını ifade ediyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",C,,L4-L5 seviyesinde fıtık oluşumu,Kronik venöz yetmezlik,Periferik arter hastalığı,Akut derin ven trombozu,Lenfanjit,98.0,tusdonem_2_KTBT.json,
Aşağıdaki anestezik ajanlardan hangisi NMDA reseptörleri üzerinden etki gösterir?,A,,Ketamin,Midazolam,Propofol,Tiyopental,Etomidat,99.0,tusdonem_2_KTBT.json,
Aşağıdakilerden hangisi kardiyopulmoner resüsitasyon uygulanan bir hastada kardiyak arrestin geri döndürülebilir nedenlerinden biri değildir?,C,,Hipovolemi,Hipoksi,Hipokinezi,Hipotermi,Hipokalemi,100.0,tusdonem_2_KTBT.json,
Künt toraks travmasıyla oluşan trakeobronşiyal yaralanmalar en sık hangi lokalizasyonda görülür?,B,,Sağ intermediyer bronşta ilk 2 cm’de,"Ana karinanın 2-2,5 cm çevresinde",Sağ üst lob bronşunda,Sol üst lob bronşunda,Sol alt lob-üst lob karinasında,101.0,tusdonem_2_KTBT.json,
Doğumsal diyafragma hernileriyle ilgili  aşağıdaki ifadelerden hangisi yanlıştır?,B,,Bochdalek hernisi posterolateral yerleşimli defektlere verilen addır.,Doğumsal diyafragma hernileri sıklıkla sağ tarafta görülür.,Doğumsal diyafragma hernilerine kardiyovasküler sistem anomalileri eşlik edebilir.,Morgagni hernisi anteromedial yerleşimlidir.,Doğumsal diyafragma hernisi olan hastalarda intestinal fiksasyon anomalileri ve buna bağlı intestinal obstrüksiyonlar görülebilir.,102.0,tusdonem_2_KTBT.json,
Anterior yolla yapılan füzyonlu bir servikal disk hernisi ameliyatından sonra görülmesi en olası komplikasyon  aşağıdakilerden hangisidir?,A,,Vokal kord paralizisi,Vena jugularis interna yaralanması,Arteria carotis communis yaralanması,Nervus accessorius yaralanması,Tiroid krizi,103.0,tusdonem_2_KTBT.json,
"Yirmi bir yaşındaki erkek hastanın öyküsünden; halı sahada futbol oynarken herhangi bir darbe olmaksızın, koşarken yönünü aniden değiştirdiği sırada dizinden bir ses geldiği ve dizinin hızlıca şiştiği öğreniliyor.

Bu hastanın dizinde aşağıdaki yaralanmalardan hangisi öncelikle düşünülmelidir?",B,,İç menisküs yırtığı,Ön çapraz bağ yaralanması,İç yan bağ yaralanması,Patella çıkığı,Patella kırığı,104.0,tusdonem_2_KTBT.json,
"İki aylık erkek bebek, doğumunda sağ yanağında önce telanjiektazi olarak izlenen, ancak ilerleyen haftalarda büyüyerek koyu kırmızı renkli bir kitle hâline gelen deri lezyonu nedeniyle getiriliyor. Fizik muayenesinde sağ yanakta lokalize, yüzeyinde kanama odağı izlenmeyen, 3x4 cm boyutlarında, düzensiz kenarlı, düzgün yüzeyli vasküler lezyon saptanıyor.

Başka bir sağlık sorunu bulunmayan bu bebek için en uygun yaklaşım aşağıdakilerden hangisidir?",B,,Embolizasyonu takiben cerrahi eksizyon,Yakın takip ile konservatif yaklaşım,Skleroterapi,Nd:YAG lazer ile tedavi,Doğrudan cerrahi eksizyon,105.0,tusdonem_2_KTBT.json,
"Yüksekten düşme sonrası acil servise getirilen bir hastanın kan basıncı 110/65 mmHg ölçülüyor, hemoglobin 11,5 g/dL saptanıyor. Hastanın kontrastlı bilgisayarlı tomografisinde retroperitoneal bölgede hematoma eşlik eden, sol renal korteksten medullaya doğru 2 cm uzanan, ancak toplayıcı sisteme açılmayan renal kortikal laserasyon saptanıyor.

Bu hastadaki renal travmanın kaçıncı derece olması en olasıdır?",C,,I,II,III,IV,V,106.0,tusdonem_2_KTBT.json,
"Beş yaşındaki erkek hastanın akut otitis media atağı sırasında yüzünün sağ tarafında periferik fasiyal paralizi gelişiyor. Kulak muayenesinde zar hiperemik ve bombe olarak izleniyor.

Bu hastanın akut tedavisinde aşağıdakilerden hangisi diğerlerine göre daha az tercih edilir?",C,,Antibiyotik,Steroid,Fasiyal sinir dekompresyonu,Miringotomi,Orta kulaktaki pürülan akıntının aspirasyonu,107.0,tusdonem_2_KTBT.json,
"Ateş, bulantı-kusma, baş ağrısı ve her iki gözde şiddetli ağrı şikâyetleriyle  acil servise getirilen 40 yaşındaki kadın hastanın muayenesinde, bilateral propitozis, orbital konjesyon ve pitozis, sağ gözde total oftalmopleji tespit ediliyor. Öyküsünden, şikâyetlerin önce sağ gözde başlayıp daha sonra solda da ortaya çıktığı öğreniliyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",C,,Sağ akut açı kapanması glokomu,Dev hücreli arterit,Kavernöz sinüs trombozu,Pitüiter apopleksi,Psödotümör orbita,108.0,tusdonem_2_KTBT.json,
Aşağıdaki maternal durumlardan hangisi gebelikte venöz tromboemboli riskini arttıran faktörlerden değildir?,E,,İleri anne yaşı (>35),Obezite,Orak hücreli anemi,Nefrotik sendrom,Gebelik kolestazı,109.0,tusdonem_2_KTBT.json,
Birinci trimester ultrasonografik değerlendirme aşağıdakilerden hangisini içermez?,D,,Uterin kavitede gestasyonel kesenin görüntülenmesi,Çoğul gebelikte amniyonisite ve koryonisitenin belirlenmesi,Fetal kardiyak aktivitenin saptanması,Tahmini fetal ağırlığın belirlenmesi,Maternal uterus ve adnekslerin değerlendirilmesi,110.0,tusdonem_2_KTBT.json,
"Otuz iki yaşındaki G1P0 tekil gebeliği olan kadının kendi ve eşine ait kan grupları sırasıyla, B Rh (-) ve      A Rh (+) olup indirekt Coombs test sonucu negatiftir. Üçlü tarama testi trizomi 21 riski için 1/50 olarak raporlanan gebeye, 17. haftasında amniyosentez işlemi uygulanıyor.

Komplikasyonsuz amniyosentez işlemi sonrasında evine gönderilecek hastaya aşağıdakilerden hangisinin öncelikle yapılması en uygundur?",A,,Anti-D immünoglobulin,Oral antibiyotik profilaksisi,Kleihauer-Betke testi,Bir hafta süre ile oral tokolitik tedavi,Bir hafta süre ile intramusküler veya subkutan progesteron enjeksiyonu,111.0,tusdonem_2_KTBT.json,
Aşağıdakilerden hangisi insanda doğum eyleminin başlamasına katkıda bulunduğu düşünülen mekanizmalar arasında değildir?,B,,Fonksiyonel progesteron çekilmesi,Plasenta kaynaklı CRH seviyesindeki anlamlı azalma,Plasental – fetal adrenal endokrin aksın aktivasyonu,Miyometriyumda oksitosin reseptörlerinin artışı,Fetal membranlarda oluşan steril inflamatuvar yanıt,112.0,tusdonem_2_KTBT.json,
Aşağıdakilerden hangisi ikizden ikize transfüzyon sendromuna (TTTS) ilişkin bulgulardan biri değildir?,D,,Alıcı fetusta polihidramniyos,Verici fetusta umbilikal arter Doppler parametrelerinde bozulma,Verici fetusta büyüme kısıtlılığı,Verici fetusta megasistis,Alıcı fetusta hidrops,113.0,tusdonem_2_KTBT.json,
Aşağıdaki yöntemlerden hangisinin e ktopik gebelik tanısında yeri yoktur?,D,,Transvajinal ultrasonografi,Serum β-hCG ölçümü,Kuldosentez,Histerosalpingografi,Dilatasyon ve küretaj,114.0,tusdonem_2_KTBT.json,
"Otuz iki yaşında, iki çocuklu, son doğumunu bir yıl önce yapmış olan kadın üç aydır süregelen yoğun ve uzamış menstrüel kanamaları nedeniyle başvuruyor. Hastanın herhangi bir kontraseptif yöntem kullanmadığı, ek hastalığının ve daha önce herhangi bir kanama şikâyetinin olmadığı öğreniliyor.

Bu hastanın değerlendirilmesinde aşağıdakilerden  hangisi öncelikli tetkik değildir?",D,,β-hCG,Hemoglobin,Platelet sayısı,FSH,TSH,115.0,tusdonem_2_KTBT.json,
"Fertilitesini tamamlamış 49 yaşındaki kadın hastada tespit edilen 8 cm büyüklüğünde tek subseröz uterin miyom nedeniyle cerrahi işlem planlanmaktadır.

Aşağıdaki işlemlerden hangisi bu hasta için uygun değildir?",C,,Laparoskopik miyomektomi,Laparotomik miyomektomi,Histeroskopik miyomektomi,Uterin arter embolizasyonu,Abdominal histerektomi,116.0,tusdonem_2_KTBT.json,
"I. Östradiolün pik seviyeye ulaşması
II. LH’nin pik seviyeye ulaşması
III. Oositte birinci mayozun tamamlanması

Normal menstrüel siklusta ovulasyon öncesi gerçekleşen yukarıdaki olayların oluş sırası hangisinde doğru olarak verilmiştir?",A,,I – II – III,I – III – II,II – I – III,II – III – I,III – I – II,117.0,tusdonem_2_KTBT.json,
Anovulasyonun etiyolojisinde aşağıdakilerden hangisinin rol oynaması en az olasıdır?,E,,Hipotiroidi,Prolaktin salgılayan hipofizer tümör,Anoreksia nervoza,Ağır egzersiz,Endometriozis,118.0,tusdonem_2_KTBT.json,
"I. BRCA 1 mutasyonu
II. BRCA 2 mutasyonu
III. Lynch sendromu

Yukarıdakilerden hangileri over kanseri gelişme riskini arttırır?",E,,Yalnız I,Yalnız II,Yalnız III,I ve II,"I, II ve III",119.0,tusdonem_2_KTBT.json,
"Yirmi bir yaşındaki cinsel aktif olmayan kadın hasta kasık ağrısı şikâyetiyle başvuruyor. Hastada sağ overden kaynaklanan kistik bir lezyon tespit ediliyor ve laparoskopi kararı alınıyor. Ameliyat sırasında sağ over yerleşimli, yaklaşık 6 cm çaplı ve düzgün kapsüllü kist dışında herhangi bir patolojik bulgu tespit edilmiyor. Kistin eksizyonu sırasında, kapsül rüptüre oluyor ve yağlı materyalle birlikte kıl içeriğinin Douglas boşluğuna döküldüğü izleniyor.

Bu kitle için en olası ön tanı aşağıdakilerden hangisidir?",B,,Seröz kistadenom,Dermoid kist,Folikül kisti,Endometrioma,Tuboovaryan apse,120.0,tusdonem_2_KTBT.json,
"23 yaşında kadın hastada atriyoventriküler nodal reentran taşikardi saptanıyor.

Ayda 1 kez AVNRT atağı olan hastanın taşikardi ataklarının önlenmesinde en etkili yöntem hangisidir?",E,,Verapamil,Diltiazem,Metoprolol,Amiodarone,Kateter ablasyon,1.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"77 yaşında erkek hasta nefes darlığı ile acile başvuruyor. Öyküsünde akciğer kanseri nedeniyle kemoterapi aldığı öğreniliyor. Muayenede hasta ciddi dispneik görünümde ve kalp sesleri derinden geliyor. Ayrıca hastanın juguler venöz dolgunluğu dik-kat çekiyor. TELE’ de kalp gölgesi geniş ve akciğer vaskülaritesi azalmış görülüyor. EKO’ da ciddi perikardiyal efüzyon ve sağ ventrikülde diyastolik kollaps mevcut.

Aşağıdakilerden hangisi bu hastada beklenen diğer bulgulardan birisi değildir?",E,,İnspirasyonla sistolik kan basıncında düşme,Taşikardi,Ventrikül sistolik volümlerinde azalma,Ventrikül diyastolik volümlerinde azalma,Atriyum diyastolik volümlerinde artma,2.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"Öyküsünde tip 1 diyabet ve geçirilmiş anteriyor miyokard infarktüsü olan hasta kontrole geliyor. Ekokardiyografide EF %25 saptanıyor. NYHA sınıf 1-2 semptomlar tarifleyen hastanın muayenesinde akciğer bazallerde minimal raller, kan basıncı 130-88 mmhg, nabız 77-dk ritmik saptanıyor.

Diyabet için insülin kullananan hastanın kalp yetmezliği tedavisinde aşağıdakilerden hangisi ilk planda yapılması uygun değildir?",C,,Beta bloker başlamak,ACEi başlamak,SGLT2 inhibitörü başlamak,ICD takmak,Epleronon başlamak,3.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Kronik hepatit B tedavisinde aşağıdakilerden hangisi kullanılmaz?,D,,Lamivudin,Tenofovir,Entekavir,Ribavirin,Telbivudin,4.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"Akciğer filminde lenfadenopati görülmesi sebebiyle araştırılan 38 yaşındaki kadın hastaya sarkoidoz teşhisi konuluyor.

Aşağıdaki durumlardan hangisi bu hasta için sistemik steroid başlama endikasyonudur?",C,,Löfgren sendromu olması,Asemptomatik karaciğer enzim yüksekliği,Lomber MR’ da vertebrada tutulum görülmesi,Artralji olması,Anterior üveit olması,5.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"18 yaşındaki erkek hasta nefes darlığı sebebi başvuruyor. Nefes darlığının özellikle bahar aylarında ya da evcil hayvanlarla temas sonrası arttığı ve bu ataklara kuru öksürüğünde eşlik ettiği, kardeşinin kullandığı inhaler ilacı alınca rahatladığı öğreni-liyor. Muayenede dispneik görünen hastanın akciğerlerinde wheezing duyuluyor. Ekspiryum beklenenden uzun saptanıyor.

Aşağıdakilerden hangisi bu hastanın spirometresinde beklenen bulgulardan birisi değildir?",B,,FEV1 düşük,FEV1/ FVC yüksek,Rezidüel volüm yüksek,Total akciğer kapasitesi yüksek,Fonksiyonel rezidüel kapasite yüksek,6.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Aşağıdakilerden hangisi romatoid artiritte direk eklem filminde görülen ilk bulgudur?,A,,Periartiküler osteopeni,Eklem aralığında simetrik daralma,Subkondral erozyon,Yumuşak dokuda şişme,Ankiloz,7.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Aşağıdakilerden hangisi hayatı tehdit eden lupus nefiritnde hem indüksiyon hem devam tedavisinde kullanılabilir?,C,,Siklofosfamid,Azotiyopurin,Mikofenolat,Rituximab,Belimumab,8.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"60 yaşında erkek hasta, yaklaşık 3 haftadır özellikle katı gıdaları yutamadığı, sıvı gıdaları yutarken de giderek zorlanmaya başladığını, yutma kaybına kilo kaybının da eşlik ettiğini ifade ediyor. Laboratuvar tetkiklerinde demir eksikliği anemisi tespit ediliyor.

Hastaya kesin tanı koyabilmek için en uygun tetkik aşağıdakilerden hangisidir?",B,,Abdominal manyetik rezonans goruntuleme,Ozofagogastroduodenoskopi,Endoskopikretrogradkolanjiyopankreatografi,Abdominal bilgisayarli tomografi,Ozofagus manometrisi,9.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"I. Mesalamin
II. Metotreksat
III. Azotiporin

İnflamatuvar bağırsak hastalığı tanısı ile takip edilen bir gebede, yukarıdaki ilaçlardan hangisi veya hangileri bu dönemde güvenle kullanılabilir?",B,,Yalnız II,I ve III,Yalnız III,Yalnız I,II ve III,10.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Alkalen fosfataz (ALP) sevinde artışa gamaglutamil transferaz (GGT) artışının eşlik ettiği durum aşağıdakilerden hangisi-dir?,D,,Ursodeoksikolik asit kullanimi,Benign rekurren intrahepatik kolestaz I,Progresif familyal intrahepatik kolestaz II,Progresif familyal intrahepatik kolestaz III,Gebeligin intrahepatik kolestazi,11.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Laboratuvar tetkikleri incelendiğinde aspartat aminotransferaz (AST) ve alanin aminotransferaz (ALT) değerleri 600 U/L civarında saptanan bir hastada aşağıdaki ön tanılardan hangisi daha az olasıdır?,D,,Otoimmun hepatit,Viral hepatit,Toksik hepatit,Alkolik hepatit,İskemik hepatit,12.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Aşağıdaki glomerüler hastalıkların hangisinde serum kompleman düzeylerinin normal saptanması en olasıdır?,B,,Akut poststreptokoksik glomerulonefrit,Ig A nefropati,Sistemik lupus eritematozus,Membranoproliferatif glomerulonefrit,Kriyoglobulinemi,13.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Aşağıdaki idrar silendirlerinden hangisi kronok böbrek yetmezliğinde görülmektedir?,C,,Yağlı,Hiyalin,Mumsu,Eozinofil,Eritrosit,14.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Hangi durumda makrolid grubu antibiyotik kullanımı uygun değildir?,E,,Penisilin alerjisinde Streptococcus pyogenes’e bağlı tonsillofarenjit,Boğmaca tedavi ve profilaksisi,Campylobacter jejunii gastroenteriti,Mycobacterium avium intrasellulare tedavisi,E.coli ‘ye bağlı sistit,15.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"44 yaşında kadın hasta kan düzeylerinde bozukluk olduğu söylenerek tarafımıza yönlendiriliyor. Hastanın bakılan tetkiklerin-de Wbc: 2.500 mm3, Plt: 95.000 mm3, Hb: 8,2 g/dL, retikulosit: %0,3 olarak görülüyor. Hastaya yapılan usg’de hepatospleno-megali ve lenfadenopati saptanmıyor. Hastanın yapılan kemik iliği biyopsisi sonucunda kemik iliğinde selularitenin belirgin azaldığı saptanıyor. Bu hastalığın altında yatan etiyolojinin hangisi olması en az olasıdır?",C,,Parvovirus B19,Seronegatif hepatitler,M. tuberculosis,Gebelik,Benzen maruziyeti,16.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Aşağıdakilerden lenfoma türlerinin hangisinin gelişiminde EBV rol oynamaz?,A,,Erişkin T hücreli lenfoma,Burkitt lenfoma,Nazofarenks kanseri,Posttransplant lenfoproliferatif hastalık,Hodgkin hastalığı,17.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Metastatik hormon resptörleri pozitif meme kanserli hastalarda kullanılan CDK4 inhibitörü ilaç aşağıdakilerden hangisi-dir?,D,,Pertuzumab,Alpelisib,Fulvestrant,Ribosiklib,Lapatinib,18.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"55 yaşında Akciğer SCC tanılı yaygın kemik metastazları olan hastanın 2 kür KT sonrası KT’ye yantı alınamadığı saptanıyor.

Hastanın son zamanlarda artan halsizlik, yorgunluk, kas güçsüzlüğü, kabızlık ve poliüri şikayetleri mevcut olup bu tablo-dan aşağıdakilerden hangisi sorumlu olabilir?",C,,Hipoaldesteronizm,Tümör lizis sendromu,Hiperkalsemi,Uygunsuz ADH sendromu,Adrenal yetmezlik,19.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Aşağıdakilerden hangisinin geriatrik populasyonda geçici üriner inkontinansa neden olması en az olasıdır?,E,,Deliryum,Gaita tıkacı,Atrofik vajinit,Diuretik kullanımı,Hipokalsemi,20.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"Tiroidinde malign görünümlü nodül olan hastanın bakılan kan kalsitonin değeri çok yüksek saptanıyor.

Bu hastada hangi genetik mutasyonunun saptanması en olasıdır?",D,,BRAF,MEN1,EGFR,RET,MET,21.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Hangisinin hiperprolaktinemi etiyolojisinde yer alması en az olasıdır?,E,,Risperidon,Hipotiroidi,Kronik böbrek hastalığı,Metoklopramid,Bromokriptin,22.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
İnfektif endokarditte cerrahi endikasyonu olmayan durum hangisidir?,C,,Konjestif kalp yetmezliği,Etkenin antibiyotige dirençli mikroorganizma veya ciddi fungal infeksiyon etkeni olması,Ateşin 40 °C üzeri olması,Kapak üzerinde hareketli ve büyük vejetasyon,Aort kapağında apse varlığı,23.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
Nikolsky fenomeni aşağıdaki hastalıkların hangisinde en yüksek olasılıkla gözlenir?,E,,Kontakt dermatit,Liken planus,Herpes labialis,Psoriazis vulgaris,Pemfigus vulgaris,24.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"Ülseratif kolit tanısıyla izlenen 53 yaşındaki erkek hasta sağ bacağını direğe çarptıktan 8 gün sonra, o bölgede gelişen yaklaşık 2x4 cm boyutlarında ağrılı bir ülser nedeniyle başvuruyor. Genel durumu iyi olan ve ateşi olmayan hastanın ülserinden alınan doku kültüründe üreme saptanmıyor Ancak cerrahi debridman sonrası ülserin boyutunda genişleme gözleniyor.

Bu olguda en olası tanı aşağıdakilerden hangisidir?",C,,Ektima gangrenozum,Eritema multiforme,Piyoderma gangrenozum,Eritema nodozum,Büyük çaplı damar vasküliti,25.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"32 yaşındaki kadın hasta, son 3 aydır sürekli olan ve gün geçtikçe artan, sabahları uyandığında daha şiddetli olup gün içinde kısmen azalan, başında yaygın hissettiği baş ağrısı yakınmasıyla başvuruyor. Nörolojik muayenesinde fundoskopide bilateral papil stazı saptanan hastanın beyin MR görüntülemesi normal saptanıyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",B,,Migren baş ağrısı,İdiyopatik intrakraniyal hipertansiyon,Normal basınçlı hidrosefali,Küme baş ağrısı,Gerilim tipi baş ağrısı,26.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"Son 3 yıldır generalize kore izlenen 26 yaş kadın hastanın dedesinin 52 yaşında başlayan hareket bozukluğu, psikoz ve demans nedeniyle 78 yaşında vefat ettiği, şimdi 52 yaşında olan babasının da 11 yıldır giderek artan istemsiz hareketleri ve unutkan-lığı olduğu öğreniliyor.

Bu hastadaki en olası tanı için hangisi doğru değildir?",E,,O.D geçişli bir hastalığa sahiptir.,Antisipasyon göstermektedir.,Babadan kalıtıldıkça daha erken yaşta başlamaktadır.,Elektronöromiyografi tanı koymada yararsızdır.,Trinükleotid tekrar (TNT) hastalığı olup CTG tekrarları dikkati çekmektedir.,27.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"33 yaş kadın hasta, 3 aydır devam eden hiçbir şeyden zevk alamama, daha önce keyif aldığı aktiviteleri bile yapmak isteme-me, sabahları istemsiz şekilde her zamankinden en az 3 saat daha erken uyanma, belirgin kilo kaybı, evin içinde huzursuzca yürüme şeklinde hareketlilik artışı, suçluluk duyguları ve sabahları daha yoğun olan bitkinlik şikâyetleriyle psikiyatriye baş-vuruyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",C,,Katatoni ile giden depresyon,Post partum depresyon,Melankolik özellikli depresyon,Değişik (Atipik) özellikli depresyon,Psikotik özellikli depresyon,28.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"33 yaşındaki erkek hasta, ellerinde kızarıklık şikâyetiyle cildiye polikliniğine başvuruyor. Hastanın sık sık ellerini yıkadığı bilgi-sini alan cildiye hekimi psikiyatri konsultasyonu istiyor. Psikiyatrik değerlendirmede hastanın gün içinde defalarca ellerini yı-kadığı, ellerini yıkamasına rağmen mikroplardan temizlenmediğini düşündüğü, bu düşünceleri kafasından atamadığı, günün tamamına yakınını ellerini yıkayarak geçirdiğinden mesleki yaşamının etkilendiği ve işlevselliğinin bozulduğu öğreniliyor.

Bu hasta için en uygun başlangıç tedavi aşağıdakilerden hangisidir?",B,,Flupentiksol,Fluvoksamin,Klomipramin,Amitriptilin,Lamotrijin,29.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
"32 yaşındaki kadın hasta, uzun süre oturunca başlayan ve ara ara bacak arkasına yayılan sağ kalça ağrısı nedeniyle başvuru-yor. Fizik muayenede sağ kalçanın pasif abdüksiyon ve internal rotasyona getirilmesiyle, ayrıca dirençli abdüksiyon ve ekster-nal rotasyon yaptırılmasıyla ağrı artıyor.

Bu hasta için en olası tanı aşağıdakilerden hangisidir?",D,,İliotibial bant sendromu,L5-S1 radikulopati,İskial bursit,Piriformis sendromu,Trokanterik bursit,30.0,tusem52_ktbt.json,Dahiliye (Dahiliye + Dahiliye Küçük Stajlar)
